employee_id,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,awards_won,avg_training_score,is_promoted
56275,Sales & Marketing,region_1,Master's & above,m,other,1,42,5.0,5,0,51.0,0
58304,Sales & Marketing,region_28,Bachelor's,m,sourcing,1,33,5.0,6,0,51.0,1
25014,Technology,region_15,Bachelor's,m,other,1,34,3.0,10,0,80.0,0
40097,Operations,region_2,Bachelor's,f,other,2,23,4.0,2,0,57.0,0
23560,HR,region_2,Bachelor's,m,sourcing,1,59,4.0,26,0,52.0,0
17423,Sales & Marketing,region_2,,m,other,3,24,2.0,2,0,48.0,0
61758,Analytics,region_2,Bachelor's,m,other,1,44,5.0,12,0,88.0,0
75009,Procurement,region_17,Bachelor's,f,sourcing,1,50,5.0,11,0,71.0,0
17876,Procurement,region_13,Master's & above,f,other,1,37,4.0,4,0,71.0,0
36924,Technology,region_16,Bachelor's,m,sourcing,1,40,3.0,11,0,80.0,0
50408,Sales & Marketing,region_20,Bachelor's,m,sourcing,1,30,3.0,3,0,49.0,0
18013,Procurement,region_2,Master's & above,f,sourcing,1,56,3.0,12,0,73.0,0
24104,Finance,region_2,Bachelor's,m,sourcing,1,20,4.0,2,0,60.0,0
32083,Sales & Marketing,region_25,Bachelor's,f,sourcing,1,31,3.0,8,0,48.0,0
38330,Procurement,region_15,Bachelor's,m,sourcing,1,40,3.0,12,0,65.0,0
33690,HR,region_22,Bachelor's,m,other,1,30,1.0,6,0,50.0,0
73161,Operations,region_22,Bachelor's,m,other,1,39,3.0,5,0,62.0,0
13596,Analytics,region_31,Bachelor's,m,other,2,26,2.0,2,0,85.0,0
45709,Sales & Marketing,region_31,Bachelor's,f,other,1,29,,1,0,49.0,0
32709,R&D,region_22,Master's & above,m,sourcing,1,40,3.0,5,0,84.0,0
26599,Sales & Marketing,region_16,Bachelor's,m,other,2,27,,1,0,47.0,0
32656,Sales & Marketing,region_19,Bachelor's,m,other,1,40,4.0,7,0,52.0,0
17673,Sales & Marketing,region_4,Master's & above,m,other,1,50,4.0,17,0,47.0,1
3113,Sales & Marketing,region_29,Bachelor's,m,sourcing,1,25,3.0,3,0,53.0,0
9150,Analytics,region_22,Bachelor's,f,other,1,28,,1,0,80.0,0
14107,Sales & Marketing,region_1,Master's & above,m,sourcing,1,35,4.0,2,0,52.0,0
58747,R&D,region_26,Bachelor's,m,other,1,34,5.0,5,0,87.0,0
3342,Operations,region_13,Master's & above,f,sourcing,1,31,3.0,3,0,58.0,0
77981,Finance,region_22,Bachelor's,m,other,1,27,,1,1,58.0,1
16502,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,27,,1,0,,1
73729,Procurement,region_10,Bachelor's,m,other,1,30,4.0,6,0,75.0,0
45624,Analytics,region_31,Bachelor's,m,other,1,30,3.0,7,0,84.0,1
75677,Operations,region_22,Bachelor's,f,other,1,50,5.0,5,0,59.0,0
24040,Technology,region_22,Master's & above,m,other,1,34,5.0,7,0,78.0,1
68082,Sales & Marketing,region_2,Master's & above,f,sourcing,1,41,1.0,12,0,52.0,0
51786,Sales & Marketing,region_16,Bachelor's,m,sourcing,1,32,4.0,6,0,44.0,0
77577,Sales & Marketing,region_7,Bachelor's,m,other,1,50,3.0,14,0,52.0,0
54782,Sales & Marketing,region_2,Master's & above,m,sourcing,1,38,4.0,2,0,49.0,1
52368,Sales & Marketing,region_27,Bachelor's,m,sourcing,2,29,1.0,5,0,51.0,0
75103,Sales & Marketing,region_30,Bachelor's,m,sourcing,1,35,4.0,3,0,53.0,0
7520,Analytics,region_2,Bachelor's,m,other,1,25,3.0,2,0,91.0,0
59147,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,30,3.0,3,0,58.0,1
53092,Technology,region_2,Bachelor's,m,referred,1,47,3.0,7,0,79.0,0
34564,Operations,region_4,Master's & above,m,sourcing,1,35,2.0,7,0,53.0,0
66013,Sales & Marketing,region_2,,m,sourcing,2,25,3.0,2,0,53.0,0
77135,R&D,region_22,Bachelor's,m,other,1,36,4.0,8,0,82.0,0
44575,Legal,region_7,Bachelor's,m,other,1,29,,1,0,65.0,1
47498,Operations,region_11,Master's & above,f,sourcing,1,42,5.0,11,0,60.0,1
20798,HR,region_20,Bachelor's,f,sourcing,1,28,2.0,6,0,52.0,0
69094,Sales & Marketing,region_2,,m,sourcing,1,39,1.0,9,0,49.0,0
22261,Procurement,region_7,Master's & above,m,sourcing,1,32,5.0,3,0,69.0,1
9589,Sales & Marketing,region_31,Bachelor's,f,other,1,31,,1,0,51.0,0
62658,Sales & Marketing,region_2,,f,sourcing,1,20,,1,0,55.0,0
21628,Analytics,region_12,Bachelor's,m,other,1,34,3.0,8,0,85.0,0
68484,Procurement,region_2,Master's & above,m,sourcing,2,46,4.0,3,0,74.0,0
44523,HR,region_2,Master's & above,m,other,1,47,3.0,7,0,44.0,0
35420,Operations,region_2,Bachelor's,f,other,1,44,4.0,13,0,53.0,0
43923,Analytics,region_14,Bachelor's,m,sourcing,1,31,4.0,4,0,86.0,0
64109,Technology,region_26,Bachelor's,f,sourcing,1,23,,1,0,77.0,0
41983,Operations,region_2,Bachelor's,f,sourcing,1,33,3.0,5,0,57.0,0
21440,Sales & Marketing,region_31,Bachelor's,m,other,1,41,3.0,12,0,52.0,0
51256,Finance,region_2,Master's & above,m,other,1,60,5.0,17,0,59.0,0
66635,Operations,region_15,Bachelor's,m,other,1,31,5.0,4,0,63.0,1
16027,Operations,region_26,Bachelor's,f,other,1,37,3.0,11,0,57.0,0
46020,Analytics,region_7,Bachelor's,m,sourcing,2,39,3.0,4,0,83.0,0
28509,Sales & Marketing,region_7,Bachelor's,m,other,1,40,5.0,8,0,54.0,0
33587,Sales & Marketing,region_28,Master's & above,m,sourcing,1,42,5.0,4,0,50.0,0
21387,Operations,region_13,Bachelor's,m,other,1,35,4.0,6,0,57.0,1
55927,Operations,region_13,Master's & above,f,sourcing,1,41,4.0,6,0,62.0,0
60763,Procurement,region_2,Bachelor's,f,other,1,23,3.0,2,0,73.0,0
53167,Sales & Marketing,region_16,Bachelor's,m,sourcing,2,31,3.0,4,0,50.0,0
32672,Analytics,region_22,Master's & above,m,other,1,42,2.0,19,0,79.0,0
48785,Sales & Marketing,region_22,Bachelor's,m,other,3,29,4.0,2,0,49.0,0
51444,HR,region_13,Bachelor's,f,other,1,30,,1,0,54.0,0
75778,Operations,region_2,Bachelor's,m,sourcing,1,41,4.0,6,0,63.0,0
14141,Sales & Marketing,region_7,Bachelor's,f,other,1,40,3.0,2,0,90.0,1
17894,Sales & Marketing,region_2,Bachelor's,m,referred,1,34,5.0,5,0,49.0,0
54380,Sales & Marketing,region_4,Bachelor's,f,other,1,31,4.0,2,0,46.0,0
51892,Technology,region_2,Bachelor's,m,other,1,27,5.0,2,0,86.0,1
3625,Procurement,region_21,Bachelor's,m,sourcing,4,30,3.0,2,0,72.0,0
38771,Procurement,region_23,Bachelor's,f,other,1,27,4.0,4,0,72.0,1
18959,Technology,region_15,Bachelor's,m,other,4,36,4.0,7,0,82.0,0
21137,Technology,region_2,Bachelor's,m,sourcing,1,35,4.0,6,0,77.0,0
26097,Sales & Marketing,region_25,Master's & above,m,other,1,34,5.0,7,0,51.0,1
38052,Procurement,region_34,Master's & above,m,sourcing,1,37,5.0,3,1,92.0,1
41746,Operations,region_22,Bachelor's,f,sourcing,1,27,,1,0,58.0,0
72744,Procurement,region_2,Master's & above,m,sourcing,2,47,3.0,5,0,71.0,0
5461,Analytics,region_8,Bachelor's,m,other,1,28,,1,0,83.0,0
15227,Procurement,region_27,Master's & above,f,other,1,40,5.0,5,0,68.0,0
66874,Sales & Marketing,region_27,Bachelor's,f,other,1,30,,1,0,50.0,0
42068,Operations,region_1,Master's & above,m,other,1,38,5.0,9,0,,0
54825,Sales & Marketing,region_25,Bachelor's,m,other,1,30,3.0,2,0,47.0,0
77709,Sales & Marketing,region_11,Bachelor's,f,sourcing,1,28,5.0,3,0,46.0,0
43712,Procurement,region_22,Bachelor's,m,sourcing,2,28,5.0,4,0,67.0,0
74783,Operations,region_29,Bachelor's,m,sourcing,1,35,4.0,7,0,58.0,0
19318,Analytics,region_22,Bachelor's,m,other,1,32,3.0,8,0,89.0,1
12096,Sales & Marketing,region_26,Master's & above,m,sourcing,1,36,5.0,8,0,50.0,0
5102,Operations,region_7,Bachelor's,m,sourcing,1,24,,1,0,56.0,0
29521,Technology,region_15,Bachelor's,m,other,1,27,3.0,4,0,78.0,0
36371,Finance,region_28,Master's & above,m,other,2,34,3.0,7,0,56.0,0
51164,Technology,region_14,Bachelor's,f,other,1,31,4.0,4,1,78.0,0
17812,Technology,region_27,Bachelor's,f,sourcing,1,30,4.0,2,0,77.0,0
7606,Technology,region_29,Bachelor's,f,other,2,30,3.0,7,1,76.0,0
50593,Finance,region_23,Bachelor's,m,sourcing,1,31,,1,0,56.0,0
73735,Analytics,region_25,Bachelor's,m,other,1,30,5.0,3,0,84.0,0
29313,Finance,region_22,Bachelor's,m,sourcing,1,28,3.0,2,0,57.0,0
40262,Technology,region_2,Bachelor's,m,other,2,28,3.0,5,0,81.0,0
36904,Sales & Marketing,region_15,Bachelor's,m,other,1,29,3.0,2,0,51.0,0
62552,Sales & Marketing,region_22,Master's & above,m,sourcing,1,46,3.0,11,0,51.0,0
63285,Technology,region_29,Bachelor's,m,sourcing,1,31,5.0,4,0,80.0,0
74203,Procurement,region_5,Bachelor's,m,sourcing,1,28,1.0,4,0,72.0,0
75344,Sales & Marketing,region_4,Master's & above,m,other,1,31,4.0,6,0,50.0,0
74018,HR,region_7,Master's & above,f,other,1,37,3.0,9,0,48.0,0
34985,Technology,region_5,Bachelor's,f,other,2,34,5.0,8,0,88.0,1
35930,Procurement,region_2,Bachelor's,m,sourcing,1,25,5.0,3,0,70.0,1
6708,Operations,region_22,Master's & above,m,sourcing,1,40,4.0,4,0,57.0,0
5515,Operations,region_13,Master's & above,m,other,1,43,3.0,7,0,56.0,1
53373,Operations,region_13,Bachelor's,m,other,1,36,1.0,5,0,56.0,0
69316,Legal,region_29,Bachelor's,m,sourcing,1,29,3.0,3,0,63.0,0
41009,Finance,region_13,Bachelor's,m,sourcing,2,35,3.0,2,0,56.0,0
50622,Analytics,region_25,Master's & above,m,other,1,34,5.0,2,0,84.0,0
30106,Sales & Marketing,region_16,Bachelor's,f,sourcing,1,32,4.0,4,0,,0
45157,HR,region_4,Bachelor's,m,other,1,27,,1,0,50.0,0
23523,Technology,region_26,Bachelor's,m,sourcing,1,29,3.0,5,0,75.0,0
74349,Sales & Marketing,region_5,Bachelor's,m,sourcing,1,34,1.0,4,0,48.0,0
70543,Procurement,region_2,Master's & above,m,sourcing,1,37,5.0,7,0,70.0,0
42245,Procurement,region_22,Bachelor's,f,other,1,33,3.0,3,0,73.0,0
34405,Procurement,region_2,Master's & above,f,other,1,33,5.0,4,0,67.0,0
4134,Sales & Marketing,region_16,Bachelor's,f,other,1,39,1.0,8,0,,0
23599,Technology,region_23,Master's & above,m,other,1,34,4.0,7,0,82.0,0
942,Technology,region_22,Bachelor's,m,other,2,32,4.0,6,0,84.0,0
5281,Sales & Marketing,region_7,Master's & above,m,other,1,34,4.0,6,0,53.0,0
197,Finance,region_12,Bachelor's,m,other,1,29,5.0,6,0,,0
37574,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,28,1.0,2,0,50.0,0
26773,Technology,region_7,Bachelor's,f,other,1,28,2.0,5,0,75.0,0
70034,Procurement,region_2,Master's & above,f,other,2,35,3.0,9,0,70.0,0
40565,Technology,region_2,Bachelor's,f,other,2,40,3.0,3,0,86.0,0
17193,Sales & Marketing,region_2,Bachelor's,f,other,2,27,2.0,4,0,54.0,0
76550,Procurement,region_22,Bachelor's,f,other,3,26,3.0,3,0,70.0,0
53841,Operations,region_2,Bachelor's,m,sourcing,1,43,2.0,12,0,57.0,0
28314,Finance,region_26,Bachelor's,m,other,1,23,,1,0,,0
30196,Analytics,region_25,Bachelor's,m,sourcing,1,29,5.0,6,0,84.0,0
29757,Sales & Marketing,region_14,Bachelor's,m,sourcing,1,43,3.0,15,0,51.0,0
6073,Sales & Marketing,region_2,Bachelor's,m,sourcing,3,27,4.0,4,0,49.0,0
9863,Procurement,region_27,Bachelor's,m,sourcing,1,26,4.0,4,0,70.0,0
34306,Procurement,region_13,Bachelor's,f,other,1,31,5.0,5,0,72.0,0
34041,Operations,region_7,Bachelor's,m,other,1,40,4.0,11,0,58.0,0
21356,Operations,region_15,Bachelor's,f,other,2,39,5.0,12,0,55.0,0
29540,Operations,region_2,Bachelor's,f,other,2,30,3.0,6,0,57.0,0
51669,Technology,region_2,Master's & above,m,other,1,47,4.0,4,0,77.0,0
33825,Sales & Marketing,region_17,Bachelor's,m,other,1,34,4.0,7,0,48.0,1
6254,Operations,region_2,,f,other,1,33,4.0,9,0,64.0,0
11645,Sales & Marketing,region_23,Master's & above,m,other,1,41,5.0,7,0,51.0,0
3231,Technology,region_7,Bachelor's,m,other,1,29,1.0,4,0,80.0,0
7030,Analytics,region_31,Bachelor's,f,other,1,32,3.0,4,0,86.0,0
54198,Procurement,region_7,Master's & above,f,other,1,47,5.0,9,0,68.0,0
62293,Operations,region_27,Bachelor's,m,other,1,35,4.0,3,0,65.0,0
25312,Technology,region_22,Bachelor's,m,other,1,27,4.0,2,0,75.0,0
75610,Analytics,region_32,Bachelor's,m,other,1,29,1.0,3,0,81.0,0
16518,Sales & Marketing,region_20,Bachelor's,m,sourcing,2,36,3.0,9,0,49.0,0
42747,Sales & Marketing,region_15,Bachelor's,m,other,2,35,1.0,8,0,39.0,0
67980,Procurement,region_2,Bachelor's,f,sourcing,2,34,3.0,2,0,70.0,0
53630,Sales & Marketing,region_23,Master's & above,f,sourcing,1,34,4.0,5,1,94.0,1
72423,Operations,region_2,Master's & above,m,sourcing,1,39,3.0,2,0,60.0,0
73022,Sales & Marketing,region_25,Bachelor's,m,other,1,26,5.0,2,0,51.0,0
63976,Operations,region_31,Bachelor's,f,sourcing,1,30,5.0,4,0,56.0,0
60761,Operations,region_16,,f,other,1,31,4.0,2,0,62.0,0
57228,HR,region_2,Master's & above,m,sourcing,1,44,5.0,6,0,48.0,0
14912,Sales & Marketing,region_1,Bachelor's,m,other,1,38,3.0,4,0,49.0,0
22725,Technology,region_26,Bachelor's,m,other,1,40,1.0,3,0,78.0,0
18981,Legal,region_2,Master's & above,m,sourcing,1,50,5.0,6,1,58.0,0
50845,Procurement,region_19,Master's & above,m,other,1,44,3.0,12,0,70.0,0
11800,Procurement,region_2,Below Secondary,f,other,1,23,1.0,2,0,69.0,0
16351,Sales & Marketing,region_7,Master's & above,f,sourcing,1,36,1.0,2,0,53.0,0
75881,Analytics,region_27,Bachelor's,m,sourcing,1,25,1.0,4,0,80.0,0
73200,Operations,region_28,Bachelor's,m,sourcing,1,34,5.0,4,0,58.0,0
17833,Analytics,region_4,Bachelor's,m,sourcing,1,28,,1,0,85.0,0
58338,Analytics,region_1,Bachelor's,m,other,2,30,5.0,6,0,81.0,0
40187,Procurement,region_12,Bachelor's,m,sourcing,1,35,1.0,8,0,67.0,0
70193,Analytics,region_6,Bachelor's,m,sourcing,1,33,4.0,8,0,86.0,0
27188,Analytics,region_13,Master's & above,m,other,1,30,3.0,4,0,80.0,0
24291,Analytics,region_26,Bachelor's,m,other,2,27,5.0,3,0,85.0,0
43676,Procurement,region_2,Bachelor's,m,other,4,29,,1,0,68.0,0
52231,Operations,region_2,Bachelor's,m,sourcing,1,43,3.0,3,0,58.0,0
34241,Analytics,region_22,Bachelor's,m,other,2,28,3.0,5,0,86.0,0
76661,Procurement,region_17,Bachelor's,m,other,1,31,5.0,3,0,68.0,0
50595,Operations,region_2,Bachelor's,f,other,1,43,4.0,12,0,58.0,0
67673,Operations,region_4,Bachelor's,f,other,1,35,5.0,9,0,60.0,0
10547,Sales & Marketing,region_5,Bachelor's,m,other,2,35,3.0,9,0,49.0,0
73405,Operations,region_2,Master's & above,m,other,1,50,3.0,8,0,59.0,0
73114,HR,region_17,Bachelor's,f,other,1,26,4.0,3,0,50.0,0
22572,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,32,3.0,5,0,52.0,0
62923,Operations,region_13,Master's & above,f,other,1,38,5.0,2,1,93.0,1
57235,Sales & Marketing,region_26,,m,other,1,22,4.0,2,0,51.0,0
22300,HR,region_20,Bachelor's,m,other,1,28,,1,0,52.0,0
24090,Procurement,region_14,Bachelor's,f,sourcing,1,37,3.0,9,0,69.0,0
57298,Analytics,region_2,Bachelor's,m,sourcing,2,54,3.0,9,0,86.0,0
25629,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,36,3.0,8,0,51.0,0
71339,Technology,region_6,Bachelor's,m,other,1,35,3.0,8,0,78.0,0
54714,Analytics,region_29,Bachelor's,m,other,1,39,3.0,4,0,85.0,0
7390,Operations,region_12,Bachelor's,f,sourcing,1,31,5.0,4,0,63.0,0
9563,Operations,region_31,Bachelor's,m,other,2,38,3.0,7,1,60.0,0
39107,Sales & Marketing,region_22,Bachelor's,m,sourcing,1,28,1.0,2,0,48.0,0
19445,Sales & Marketing,region_7,Bachelor's,m,sourcing,3,26,2.0,3,0,52.0,0
42636,Sales & Marketing,region_26,Bachelor's,m,sourcing,1,29,,1,0,54.0,0
32557,Analytics,region_20,Bachelor's,m,sourcing,1,30,3.0,4,0,84.0,0
43396,Operations,region_22,Bachelor's,m,sourcing,2,37,2.0,4,0,57.0,1
24414,R&D,region_2,,m,other,1,25,,1,0,76.0,0
63237,Technology,region_22,Bachelor's,m,referred,1,26,4.0,2,0,82.0,0
32838,Technology,region_7,Bachelor's,m,other,1,31,4.0,4,0,78.0,0
23003,Technology,region_14,Bachelor's,f,other,1,38,5.0,7,0,82.0,0
45198,Sales & Marketing,region_13,Bachelor's,m,other,1,39,4.0,9,0,49.0,0
40376,Sales & Marketing,region_4,Bachelor's,m,other,1,30,5.0,4,1,50.0,0
60176,Procurement,region_15,Master's & above,f,other,1,34,5.0,8,0,67.0,0
67652,Procurement,region_23,Master's & above,f,other,1,33,3.0,5,0,72.0,0
15476,Technology,region_2,Bachelor's,f,other,1,29,5.0,3,0,78.0,0
55811,Operations,region_2,Bachelor's,m,sourcing,1,28,4.0,2,0,,0
15737,Finance,region_22,Bachelor's,m,sourcing,1,24,,1,0,56.0,0
10058,Analytics,region_22,Bachelor's,m,other,2,26,4.0,2,0,87.0,0
73435,Legal,region_22,Bachelor's,m,sourcing,1,34,5.0,4,0,64.0,0
51255,Sales & Marketing,region_27,Bachelor's,m,sourcing,1,35,3.0,7,0,46.0,0
70060,Technology,region_13,Master's & above,m,other,1,43,3.0,14,0,79.0,0
51473,Sales & Marketing,region_15,Bachelor's,m,other,1,34,1.0,8,0,39.0,0
71904,Technology,region_7,Master's & above,f,other,2,38,3.0,10,0,88.0,0
76080,Operations,region_7,Bachelor's,f,other,1,34,1.0,5,0,54.0,0
33357,Operations,region_22,Bachelor's,m,sourcing,1,41,4.0,4,0,63.0,0
53502,Finance,region_7,Bachelor's,m,sourcing,2,29,1.0,4,0,,0
26409,Operations,region_2,Bachelor's,m,other,1,33,4.0,3,0,,0
59608,Sales & Marketing,region_2,Master's & above,f,other,1,41,4.0,5,0,48.0,0
28687,Operations,region_2,Master's & above,m,other,3,38,3.0,11,0,57.0,0
34312,Procurement,region_2,Master's & above,f,other,2,54,4.0,23,0,66.0,0
11438,Sales & Marketing,region_13,Master's & above,f,sourcing,2,34,2.0,8,0,49.0,0
11794,R&D,region_2,Bachelor's,m,other,2,26,5.0,3,0,87.0,0
48756,Operations,region_7,Bachelor's,f,sourcing,1,35,5.0,3,0,59.0,0
35873,Legal,region_2,Below Secondary,m,other,1,28,,1,0,62.0,0
13970,Operations,region_33,Master's & above,m,other,1,36,3.0,4,0,60.0,0
49868,Technology,region_5,Bachelor's,m,other,1,45,3.0,15,0,87.0,0
25261,Procurement,region_7,Master's & above,m,other,1,38,4.0,7,0,66.0,0
44536,Sales & Marketing,region_27,Bachelor's,f,other,1,26,2.0,4,0,47.0,0
55550,Analytics,region_27,,m,sourcing,1,31,3.0,4,0,85.0,0
27989,Analytics,region_34,Bachelor's,m,sourcing,1,32,3.0,7,0,87.0,0
12598,Analytics,region_6,Bachelor's,m,sourcing,1,29,4.0,4,0,78.0,0
32877,Sales & Marketing,region_2,Bachelor's,f,other,1,40,3.0,12,0,50.0,0
30682,Technology,region_2,Bachelor's,m,referred,2,29,4.0,6,0,75.0,0
1829,Analytics,region_28,Bachelor's,m,other,2,31,5.0,7,0,87.0,0
2177,Finance,region_16,Bachelor's,m,other,1,32,5.0,6,0,58.0,0
51771,Operations,region_17,Bachelor's,m,other,1,42,5.0,11,0,67.0,0
26026,Procurement,region_15,Bachelor's,f,sourcing,1,30,5.0,3,0,65.0,0
64977,Procurement,region_16,Bachelor's,f,other,1,24,3.0,2,0,70.0,0
44585,Sales & Marketing,region_30,Bachelor's,m,sourcing,1,35,3.0,7,0,56.0,0
43562,Technology,region_5,Bachelor's,f,sourcing,2,32,1.0,3,0,80.0,0
56287,HR,region_2,Bachelor's,f,sourcing,1,22,3.0,2,0,47.0,0
19100,Sales & Marketing,region_2,Bachelor's,m,sourcing,2,44,5.0,14,0,48.0,0
58203,Operations,region_16,Bachelor's,m,other,2,39,3.0,9,0,58.0,0
12504,Technology,region_7,Bachelor's,f,other,1,46,4.0,17,0,85.0,0
49126,Technology,region_15,Bachelor's,m,other,1,29,2.0,5,0,77.0,0
66469,Finance,region_7,Bachelor's,m,other,1,26,1.0,3,0,59.0,0
53350,Operations,region_23,Bachelor's,m,other,1,35,4.0,5,0,,0
22031,Procurement,region_2,Bachelor's,f,other,1,29,4.0,2,0,95.0,1
36185,Technology,region_13,Bachelor's,m,sourcing,1,30,2.0,9,0,79.0,0
58415,Sales & Marketing,region_7,Bachelor's,m,other,1,45,4.0,5,0,50.0,0
71763,Sales & Marketing,region_15,Bachelor's,f,other,1,30,1.0,6,0,47.0,0
62742,Finance,region_32,Bachelor's,m,sourcing,1,28,2.0,4,0,59.0,0
33619,Technology,region_2,Master's & above,m,sourcing,1,46,5.0,10,0,76.0,0
41212,Procurement,region_7,Bachelor's,m,sourcing,1,27,2.0,2,0,69.0,0
40204,Sales & Marketing,region_11,Bachelor's,m,sourcing,1,34,2.0,5,0,47.0,0
59131,Analytics,region_19,Bachelor's,m,sourcing,2,32,5.0,3,0,86.0,0
12559,Operations,region_22,Bachelor's,f,other,1,35,5.0,10,0,63.0,0
30433,Procurement,region_27,Bachelor's,m,other,1,36,4.0,3,0,66.0,0
13150,Procurement,region_2,Master's & above,f,other,1,58,1.0,13,0,70.0,0
9616,Finance,region_31,Bachelor's,m,other,1,29,4.0,4,0,57.0,0
26563,Procurement,region_2,Bachelor's,f,referred,1,33,3.0,3,0,67.0,0
38331,Operations,region_16,Bachelor's,f,other,1,32,5.0,6,0,62.0,0
18651,Legal,region_22,Below Secondary,m,other,1,25,5.0,2,0,59.0,0
45004,Procurement,region_13,Bachelor's,m,other,4,41,2.0,9,0,68.0,0
11892,Procurement,region_12,Bachelor's,f,other,1,25,,1,0,69.0,0
16859,Analytics,region_2,Master's & above,m,other,1,50,1.0,7,1,79.0,0
26107,Sales & Marketing,region_26,Bachelor's,m,other,1,30,1.0,7,0,53.0,0
22511,Technology,region_24,Bachelor's,m,sourcing,1,28,,1,0,81.0,0
22865,Analytics,region_20,Master's & above,m,other,1,40,5.0,5,1,83.0,1
67467,Finance,region_2,Below Secondary,f,other,1,26,3.0,2,0,,0
2268,Technology,region_13,Bachelor's,m,other,1,35,5.0,8,0,81.0,0
33517,Sales & Marketing,region_7,Master's & above,m,other,1,37,3.0,7,0,52.0,0
27605,Operations,region_22,Master's & above,m,other,1,34,3.0,3,0,75.0,1
69349,Operations,region_8,Bachelor's,m,sourcing,1,25,3.0,2,0,57.0,0
45496,Sales & Marketing,region_2,,m,other,1,22,5.0,2,0,62.0,1
66262,Procurement,region_2,Bachelor's,f,other,2,26,5.0,2,0,68.0,1
55425,Technology,region_2,Bachelor's,f,other,1,31,4.0,7,0,80.0,0
29543,Finance,region_2,Bachelor's,m,sourcing,4,31,5.0,3,0,60.0,0
36547,Analytics,region_25,Bachelor's,m,sourcing,1,32,3.0,6,0,86.0,0
11205,Sales & Marketing,region_19,Bachelor's,m,sourcing,1,36,5.0,8,0,48.0,0
469,Technology,region_2,Bachelor's,f,sourcing,1,57,3.0,19,0,81.0,0
